Dataset,Perform,SVM,"MultiLayer 
Perceptron",Ibk,J4.8,Random Forest,AdaBoost,Naïve Bayes,JRIP,Stacking,"Stacking (j4.8,NB)
","Stacking (j4.8;ZeroR,NB)",Part,Kstar,LWL,"Decision
Stump","Decision
Table",OneR,ZeroR,Bagging,LogitBoost,"Random 
committee",Vote,Logistic,SMO,"simple
Logistic"
abalone,TRUE,0.756666667,0.616666667,0.6744,0.718,0.4662,0.730266667,0.5897,0.514433333,0.495,0.515566667,0.519966667,0.5256,0.608133333,0.588166667,0.556133333,0.6032,0.521766667,0.495,0.6031,0.613533333,0.564033333,0.495,0.626331,0.596766667,0.623433333
abalone,Predict,0.72,0.59,0.72,0.7,0.43,0.67,0.52,0.46,0.41,0.43,0.43,0.5,0.55,0.56,0.52,0.65,0.61,0.51,0.58,0.59,0.53,0.47,0.65,0.45,0.57
wave form,TRUE,0.826566667,0.862033333,0.7739,0.8467,0.845266667,0.804866667,0.837266667,0.846266667,0.456133333,0.844066667,0.843666667,0.768733333,0.744533333,0.6739,0.612733333,0.761566667,0.5402,0.459466667,0.827033333,0.836666667,0.826433333,0.456133333,0.862433333,0.824933333,0.8632
wave form,Predict,0.8,0.82,0.72,0.8,0.81,0.73,0.79,0.8,0.39,0.79,0.79,0.71,0.71,0.65,0.58,0.69,0.59,0.47,0.79,0.78,0.77,0.5,0.81,0.79,0.76
shuttle,TRUE,0.989166667,0.988866667,0.993033333,0.9928,0.9929,0.8054,0.904733333,0.989166667,0.685333333,0.976733333,0.968933333,0.996566667,,,0.882966667,0.989133333,0.928966667,0.685333333,0.9965,0.316411111,0.316288889,0.349522222,0.9561,0.876533333,0.953433333
shuttle,Predict,0.93,0.93,0.951,0.95,0.95,0.77,0.83,0.85,0.6,0.91,0.91,0.92,,,0.84,0.95,0.93,0.65,0.92,0.34,0.42,0.42,0.93,0.91,0.92
g-credit,TRUE,0.55,0.6256,0.522666667,0.596066667,0.6161,0.613466667,0.6308,0.594666667,0.58,0.612766667,0.612766667,0.628466667,0.6339,0.68,0.646666667,0.670933333,0.533033333,0.58,0.693966667,0.672266667,0.6715,0.58,0.707466667,0.6403,0.711233333
g-credit,Predict,0.52,0.6,0.49,0.56,0.59,0.59,0.6,0.56,0.46,0.53,0.53,0.59,0.54,0.64,0.66,0.66,0.47,0.6,0.63,0.66,0.64,0.54,0.67,0.65,0.68
KR-vs-KP,TRUE,0.6154,0.619466667,0.5904,0.634866667,0.680933333,0.617066667,0.603766667,0.6097,0.5074,0.5868,0.590233333,0.970566667,0.9197,0.759766667,0.626833333,0.9344,0.5867,0.5074,0.9667,0.889433333,0.959733333,0.5074,0.941866667,0.905966667,0.9402
KR-vs-KP,Predict,0.58,0.58,0.55,0.59,0.61,0.6,0.58,0.58,0.45,0.47,0.47,0.93,0.87,0.76,0.63,0.91,0.52,0.55,0.89,0.85,0.96,0.49,0.9,0.89,0.91
art-02,TRUE,0.8576,0.8687,0.8425,0.652466667,0.801066667,0.478233333,0.813733333,0.690233333,0.433466667,0.591933333,0.568266667,0.670333333,0.746466667,0.6838,0.478233333,0.615733333,0.411266667,0.433466667,0.795266667,0.724733333,0.8108,0.433466667,0.840133333,0.811233333,0.8301
art-02,Predict,0.8,0.81,0.8,0.58,0.75,0.4,0.77,0.63,0.36,0.47,0.5,0.64,,0.61,0.42,0.69,0.42,0.45,0.74,0.71,0.78,0.45,0.8,0.79,0.81
art-07,TRUE,0.846766667,0.949033333,0.896633333,0.762366667,0.8781,0.532,0.847966667,0.808366667,0.454633333,0.728633333,0.729966667,0.804133333,0.845766667,0.6838,0.532,0.684666667,0.469766667,0.454633333,0.8762,0.812466667,0.884033333,0.454633333,0.881566667,0.8619,0.878066667
art-07,Predict,0.79,0.85,0.81,0.73,0.81,0.41,0.79,0.77,0.35,0.61,0.61,0.79,,0.64,0.49,0.65,0.45,0.46,0.83,0.79,0.85,0.46,0.84,0.85,0.83
art-12,TRUE,0.815566667,0.7701,0.783266667,0.630633333,0.763366667,0.478933333,0.760766667,0.626666667,0.432933333,0.536166667,0.534666667,0.645166667,0.6778,0.720766667,0.478933333,0.6249,0.4121,0.432933333,0.762266667,0.6941,0.7691,0.432933333,0.750466667,0.765933333,0.750233333
art-12,Predict,0.77,0.72,0.72,0.59,0.71,0.4,0.71,0.59,0.34,0.42,0.42,0.6,,0.69,0.48,0.63,0.44,0.44,0.73,0.7,0.76,0.45,0.6,0.77,0.74
art-17,TRUE,0.810233333,0.820233333,0.829166667,0.6085,0.764766667,0.472533333,0.774833333,0.638933333,0.5,0.61,0.6,0.623133333,0.6739,0.652133333,0.472533333,0.5817,0.417633333,0.4329,0.779866667,0.672266667,0.7814,0.4329,0.769733333,0.804466667,0.7693
art-17,Predict,0.77,0.77,0.77,0.55,0.65,0.4,0.65,0.57,0.41,0.47,0.47,0.62,,0.68,0.48,0.59,0.44,0.44,0.74,0.69,0.77,0.45,0.77,0.79,0.77
art-24,TRUE,0.955366667,0.9666,0.951866667,0.867033333,0.926733333,0.816266667,0.877966667,0.8877,0.5002,0.7983,0.798133333,0.8879,0.928766667,0.662366667,0.610866667,0.8175,0.571033333,0.5002,0.922233333,0.821466667,0.931166667,0.5002,0.9315,0.910966667,0.927133333
art-24,Predict,0.91,0.92,0.91,0.8,0.86,0.77,0.8,0.79,0.43,0.61,0.61,0.85,,0.68,0.6,0.78,0.49,0.49,0.89,0.79,0.89,0.5,0.91,0.88,0.9
